SEQ_ORGAO,NOMEDAVARA,SEQ_ORGAO_PAI,GRAU_ORGAO,SEQ_CIDADE,DSC_CIDADE,SIG_UF,COD_IBGE,DSC_TIP_ORGAO,TIP_ESFERA_JUSTICA,INT_ORDEM_ORGAO,LATITUDE,LONGITUDE,CAPITAL,qtd_processos,tempo_medio_proc,tempo_entre_movs,cluster_processual_mais_comum,cluster_unidade,procs_em_alerta,ranking
20007,Salvador  - 11a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,391,3324.37084398977,56.75581635980599,3,1,48,0
20008,Salvador  - 12a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,545,4626.174311926606,131.65469645138705,3,1,98,0
20009,Salvador  - 13a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,352,3098.809659090909,43.95055706507628,3,1,37,0
20010,Salvador  - 14a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,410,3377.153658536585,74.24802718958844,3,1,48,0
20011,Salvador  - 15a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,397,3457.803526448363,68.54201686845164,3,1,49,0
20012,Salvador  - 16a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,366,3273.491803278689,26.80775574431992,3,1,21,0
20013,Salvador  - 17a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,437,2626.3226544622426,37.551801949153386,3,1,15,0
20014,Salvador  - 18a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,467,2891.4089935760167,23.047189454736557,3,1,8,0
20015,Salvador  - 19a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,307,2341.2801302931603,34.67856026753861,3,1,7,0
20016,Salvador  - 20a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,409,2829.286063569682,25.54317366923079,3,1,22,0
20017,Salvador  - 21a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,367,2158.8147138964573,26.229840717225393,3,1,8,0
20018,Salvador  - 22a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,410,3170.0658536585365,23.337000273551784,3,1,12,0
20019,Salvador  - 23a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,383,2229.023498694517,16.050195074204883,3,1,6,0
20020,Salvador  - 24a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,430,2781.181395348837,31.22502897308313,3,1,12,0
20021,Salvador  - 25a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,389,3165.598971722365,33.049937562915176,3,1,19,0
20022,Salvador  - 26a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,226,1052.3053097345132,11.033931054181668,1,1,1,0
20023,Salvador  - 27a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,278,1574.1223021582737,18.2284507890896,3,1,0,0
20024,Salvador  - 28a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,271,1413.4022140221402,13.496415059017858,3,1,1,0
20025,Salvador  - 29a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,305,2076.9868852459017,20.9774241785622,3,1,0,0
20026,Salvador  - 30a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,319,2075.71473354232,19.40994912561806,3,1,0,0
20027,Salvador  - 31a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,288,1974.923611111111,29.06885575369165,3,1,3,0
20028,Salvador  - 32a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,325,1644.0615384615385,16.675802224730926,3,1,2,0
20029,Salvador  - 33a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,343,2031.8338192419824,20.167227112714922,3,1,1,0
20030,Salvador  - 34a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,335,2068.576119402985,28.40343752418323,3,1,3,0
20031,Salvador  - 35a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,380,1700.95,16.50938248718212,3,1,0,0
20032,Salvador  - 36a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,305,1824.6983606557376,18.61414485150068,3,1,1,0
20033,Salvador  - 37a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,315,1698.352380952381,14.943254898086307,3,1,0,0
